Category: Economics

Day,Geo: United States
2016-06-01,38
2016-06-02,41
2016-06-03,37
2016-06-04,29
2016-06-05,31
2016-06-06,39
2016-06-07,39
2016-06-08,35
2016-06-09,40
2016-06-10,33
2016-06-11,24
2016-06-12,25
2016-06-13,34
2016-06-14,34
2016-06-15,34
2016-06-16,32
2016-06-17,29
2016-06-18,23
2016-06-19,24
2016-06-20,31
2016-06-21,32
2016-06-22,33
2016-06-23,32
2016-06-24,40
2016-06-25,30
2016-06-26,29
2016-06-27,32
2016-06-28,32
2016-06-29,33
2016-06-30,32
2016-07-01,29
2016-07-02,22
2016-07-03,23
2016-07-04,23
2016-07-05,28
2016-07-06,34
2016-07-07,34
2016-07-08,32
2016-07-09,25
2016-07-10,25
2016-07-11,30
2016-07-12,32
2016-07-13,33
2016-07-14,32
2016-07-15,29
2016-07-16,23
2016-07-17,26
2016-07-18,30
2016-07-19,34
2016-07-20,32
2016-07-21,32
2016-07-22,32
2016-07-23,25
2016-07-24,26
2016-07-25,32
2016-07-26,36
2016-07-27,33
2016-07-28,35
2016-07-29,34
2016-07-30,26
2016-07-31,27
2016-08-01,31
2016-08-02,33
2016-08-03,32
2016-08-04,32
2016-08-05,33
2016-08-06,23
2016-08-07,26
2016-08-08,34
2016-08-09,34
2016-08-10,31
2016-08-11,30
2016-08-12,29
2016-08-13,22
2016-08-14,25
2016-08-15,33
2016-08-16,34
2016-08-17,32
2016-08-18,35
2016-08-19,33
2016-08-20,22
2016-08-21,24
2016-08-22,37
2016-08-23,41
2016-08-24,45
2016-08-25,46
2016-08-26,44
2016-08-27,28
2016-08-28,32
2016-08-29,47
2016-08-30,50
2016-08-31,56
2016-09-01,51
2016-09-02,45
2016-09-03,28
2016-09-04,30
2016-09-05,37
2016-09-06,60
2016-09-07,67
2016-09-08,63
2016-09-09,51
2016-09-10,32
2016-09-11,49
2016-09-12,77
2016-09-13,74
2016-09-14,72
2016-09-15,76
2016-09-16,57
2016-09-17,34
2016-09-18,42
2016-09-19,76
2016-09-20,75
2016-09-21,75
2016-09-22,78
2016-09-23,55
2016-09-24,34
2016-09-25,41
2016-09-26,77
2016-09-27,88
2016-09-28,79
2016-09-29,75
2016-09-30,59
2016-10-01,31
2016-10-02,39
2016-10-03,74
2016-10-04,76
2016-10-05,77
2016-10-06,70
2016-10-07,51
2016-10-08,31
2016-10-09,37
2016-10-10,66
2016-10-11,70
2016-10-12,85
2016-10-13,73
2016-10-14,51
2016-10-15,32
2016-10-16,40
2016-10-17,72
2016-10-18,77
2016-10-19,65
2016-10-20,100
2016-10-21,50
2016-10-22,32
2016-10-23,38
2016-10-24,69
2016-10-25,71
2016-10-26,75
2016-10-27,70
2016-10-28,53
2016-10-29,32
2016-10-30,39
2016-10-31,68
2016-11-01,71
2016-11-02,75
2016-11-03,66
2016-11-04,59
2016-11-05,37
2016-11-06,38
2016-11-07,69
2016-11-08,66
2016-11-09,77
2016-11-10,81
2016-11-11,53
2016-11-12,38
2016-11-13,40
2016-11-14,74
2016-11-15,75
2016-11-16,73
2016-11-17,75
2016-11-18,58
2016-11-19,33
2016-11-20,35
2016-11-21,54
2016-11-22,51
2016-11-23,33
2016-11-24,23
2016-11-25,26
2016-11-26,34
2016-11-27,41
2016-11-28,64
2016-11-29,73
2016-11-30,76
2016-12-01,72
