date,score
2012-01-01,69
2012-01-02,61
2012-01-03,66
2012-01-04,63
2012-01-05,64
2012-01-06,61
2012-01-07,62
2012-01-08,73
2012-01-09,68
2012-01-10,66
2012-01-11,63
2012-01-12,61
2012-01-13,59
2012-01-14,63
2012-01-15,74
2012-01-16,69
2012-01-17,68
2012-01-18,70
2012-01-19,61
2012-01-20,63
2012-01-21,61
2012-01-22,75
2012-01-23,64
2012-01-24,60
2012-01-25,61
2012-01-26,52
2012-01-27,63
2012-01-28,67
2012-01-29,74
2012-01-30,67
2012-01-31,72
2012-02-01,72
2012-02-02,73
2012-02-03,65
2012-02-04,64
2012-02-05,77
2012-02-06,67
2012-02-07,76
2012-02-08,74
2012-02-09,71
2012-02-10,67
2012-02-11,65
2012-02-12,79
2012-02-13,85
2012-02-14,77
2012-02-15,76
2012-02-16,73
2012-02-17,66
2012-02-18,64
2012-02-19,83
2012-02-20,79
2012-02-21,79
2012-02-22,73
2012-02-23,75
2012-02-24,67
2012-02-25,70
2012-02-26,92
2012-02-27,82
2012-02-28,83
2012-02-29,79
2012-03-01,78
2012-03-02,73
2012-03-03,78
2012-03-04,93
2012-03-05,81
2012-03-06,80
2012-03-07,78
2012-03-08,77
2012-03-09,66
2012-03-10,78
2012-03-11,87
2012-03-12,83
2012-03-13,85
2012-03-14,86
2012-03-15,76
2012-03-16,69
2012-03-17,74
2012-03-18,96
2012-03-19,86
2012-03-20,84
2012-03-21,79
2012-03-22,84
2012-03-23,71
2012-03-24,76
2012-03-25,96
2012-03-26,87
2012-03-27,83
2012-03-28,79
2012-03-29,78
2012-03-30,69
2012-03-31,72
2012-04-01,86
2012-04-02,84
2012-04-03,79
2012-04-04,75
2012-04-05,65
2012-04-06,67
2012-04-07,64
2012-04-08,72
2012-04-09,73
2012-04-10,67
2012-04-11,68
2012-04-12,71
2012-04-13,68
2012-04-14,72
2012-04-15,86
2012-04-16,77
2012-04-17,79
2012-04-18,79
2012-04-19,78
2012-04-20,70
2012-04-21,71
2012-04-22,82
2012-04-23,84
2012-04-24,76
2012-04-25,81
2012-04-26,80
2012-04-27,72
2012-04-28,75
2012-04-29,97
2012-04-30,91
2012-05-01,91
2012-05-02,81
2012-05-03,84
2012-05-04,71
2012-05-05,66
2012-05-06,88
2012-05-07,89
2012-05-08,89
2012-05-09,87
2012-05-10,89
2012-05-11,78
2012-05-12,80
2012-05-13,96
2012-05-14,92
2012-05-15,85
2012-05-16,86
2012-05-17,84
2012-05-18,74
2012-05-19,75
2012-05-20,100
2012-05-21,98
2012-05-22,86
2012-05-23,89
2012-05-24,93
2012-05-25,76
2012-05-26,82
2012-05-27,98
2012-05-28,96
2012-05-29,91
2012-05-30,84
2012-05-31,85
2012-06-01,72
2012-06-02,81
2012-06-03,100
2012-06-04,95
2012-06-05,92
2012-06-06,85
2012-06-07,82
2012-06-08,70
2012-06-09,72
2012-06-10,83
2012-06-11,79
2012-06-12,84
2012-06-13,85
2012-06-14,84
2012-06-15,70
2012-06-16,77
2012-06-17,92
2012-06-18,84
2012-06-19,79
2012-06-20,76
2012-06-21,78
2012-06-22,71
2012-06-23,69
2012-06-24,82
2012-06-25,78
2012-06-26,75
2012-06-27,71
2012-06-28,71
2012-06-29,66
2012-06-30,64
2012-07-01,75
2012-07-02,70
2012-07-03,67
2012-07-04,68
2012-07-05,63
2012-07-06,66
2012-07-07,64
2012-07-08,72
2012-07-09,71
2012-07-10,76
2012-07-11,72
2012-07-12,74
2012-07-13,71
2012-07-14,73
2012-07-15,87
2012-07-16,82
2012-07-17,84
2012-07-18,79
2012-07-19,81
2012-07-20,68
2012-07-21,75
2012-07-22,94
2012-07-23,86
2012-07-24,86
2012-07-25,86
2012-07-26,86
2012-07-27,76
2012-07-28,70
2012-07-29,90
2012-07-30,85
2012-07-31,87
2012-08-01,87
2012-08-02,83
2012-08-03,74
2012-08-04,76
2012-08-05,95
2012-08-06,86
2012-08-07,87
2012-08-08,86
2012-08-09,88
2012-08-10,76
2012-08-11,79
2012-08-12,100
2012-08-13,90
2012-08-14,89
2012-08-15,91
2012-08-16,87
2012-08-17,76
2012-08-18,74
2012-08-19,100
2012-08-20,93
2012-08-21,93
2012-08-22,93
2012-08-23,88
2012-08-24,77
2012-08-25,71
2012-08-26,95
2012-08-27,87
2012-08-28,87
2012-08-29,88
2012-08-30,84
2012-08-31,73
2012-09-01,72
2012-09-02,88
2012-09-03,88
2012-09-04,80
2012-09-05,83
2012-09-06,80
2012-09-07,78
2012-09-08,75
2012-09-09,90
2012-09-10,85
2012-09-11,83
2012-09-12,80
2012-09-13,82
2012-09-14,80
2012-09-15,80
2012-09-16,89
2012-09-17,84
2012-09-18,81
2012-09-19,76
2012-09-20,74
2012-09-21,64
2012-09-22,57
2012-09-23,68
2012-09-24,65
2012-09-25,67
2012-09-26,68
2012-09-27,67
2012-09-28,63
2012-09-29,66
2012-09-30,71
2012-10-01,67
2012-10-02,67
2012-10-03,66
2012-10-04,65
2012-10-05,65
2012-10-06,73
2012-10-07,78
2012-10-08,78
2012-10-09,75
2012-10-10,81
2012-10-11,78
2012-10-12,70
2012-10-13,73
2012-10-14,85
2012-10-15,79
2012-10-16,84
2012-10-17,76
2012-10-18,73
2012-10-19,70
2012-10-20,65
2012-10-21,81
2012-10-22,78
2012-10-23,77
2012-10-24,78
2012-10-25,76
2012-10-26,71
2012-10-27,71
2012-10-28,83
2012-10-29,80
2012-10-30,77
2012-10-31,79
2012-11-01,79
2012-11-02,66
2012-11-03,66
2012-11-04,81
2012-11-05,73
2012-11-06,70
2012-11-07,70
2012-11-08,77
2012-11-09,69
2012-11-10,67
2012-11-11,80
2012-11-12,81
2012-11-13,72
2012-11-14,72
2012-11-15,69
2012-11-16,65
2012-11-17,61
2012-11-18,77
2012-11-19,79
2012-11-20,77
2012-11-21,70
2012-11-22,75
2012-11-23,78
2012-11-24,64
2012-11-25,77
2012-11-26,74
2012-11-27,73
2012-11-28,71
2012-11-29,67
2012-11-30,64
2012-12-01,63
2012-12-02,75
2012-12-03,73
2012-12-04,67
2012-12-05,67
2012-12-06,62
2012-12-07,62
2012-12-08,61
2012-12-09,74
2012-12-10,68
2012-12-11,66
2012-12-12,66
2012-12-13,63
2012-12-14,59
2012-12-15,60
2012-12-16,72
2012-12-17,69
2012-12-18,64
2012-12-19,64
2012-12-20,64
2012-12-21,60
2012-12-22,63
2012-12-23,71
2012-12-24,57
2012-12-25,56
2012-12-26,64
2012-12-27,61
2012-12-28,62
2012-12-29,69
2012-12-30,71
2012-12-31,52
2013-01-01,82
2013-01-02,68
2013-01-03,63
2013-01-04,59
2013-01-05,62
2013-01-06,74
2013-01-07,68
2013-01-08,65
2013-01-09,65
2013-01-10,66
2013-01-11,64
2013-01-12,64
2013-01-13,70
2013-01-14,67
2013-01-15,65
2013-01-16,65
2013-01-17,60
2013-01-18,57
2013-01-19,63
2013-01-20,71
2013-01-21,65
2013-01-22,65
2013-01-23,63
2013-01-24,68
2013-01-25,59
2013-01-26,58
2013-01-27,66
2013-01-28,63
2013-01-29,67
2013-01-30,67
2013-01-31,67
2013-02-01,66
2013-02-02,69
2013-02-03,77
2013-02-04,77
2013-02-05,77
2013-02-06,75
2013-02-07,75
2013-02-08,65
2013-02-09,76
2013-02-10,82
2013-02-11,76
2013-02-12,75
2013-02-13,83
2013-02-14,79
2013-02-15,67
2013-02-16,71
2013-02-17,82
2013-02-18,77
2013-02-19,72
2013-02-20,76
2013-02-21,77
2013-02-22,70
2013-02-23,71
2013-02-24,84
2013-02-25,79
2013-02-26,78
2013-02-27,79
2013-02-28,77
2013-03-01,71
