Category: Politics

Day,Geo: Canada
2012-08-01,7
2012-08-02,7
2012-08-03,6
2012-08-04,5
2012-08-05,6
2012-08-06,5
2012-08-07,6
2012-08-08,6
2012-08-09,6
2012-08-10,7
2012-08-11,7
2012-08-12,6
2012-08-13,7
2012-08-14,7
2012-08-15,7
2012-08-16,8
2012-08-17,7
2012-08-18,6
2012-08-19,8
2012-08-20,11
2012-08-21,10
2012-08-22,9
2012-08-23,9
2012-08-24,8
2012-08-25,9
2012-08-26,9
2012-08-27,9
2012-08-28,9
2012-08-29,9
2012-08-30,9
2012-08-31,11
2012-09-01,9
2012-09-02,8
2012-09-03,10
2012-09-04,22
2012-09-05,41
2012-09-06,15
2012-09-07,15
2012-09-08,9
2012-09-09,7
2012-09-10,7
2012-09-11,7
2012-09-12,7
2012-09-13,7
2012-09-14,7
2012-09-15,6
2012-09-16,6
2012-09-17,7
2012-09-18,8
2012-09-19,8
2012-09-20,7
2012-09-21,8
2012-09-22,6
2012-09-23,6
2012-09-24,7
2012-09-25,7
2012-09-26,8
2012-09-27,8
2012-09-28,7
2012-09-29,6
2012-09-30,7
2012-10-01,7
2012-10-02,7
2012-10-03,10
2012-10-04,19
2012-10-05,9
2012-10-06,7
2012-10-07,11
2012-10-08,10
2012-10-09,8
2012-10-10,8
2012-10-11,8
2012-10-12,12
2012-10-13,8
2012-10-14,7
2012-10-15,7
2012-10-16,9
2012-10-17,20
2012-10-18,11
2012-10-19,9
2012-10-20,8
2012-10-21,9
2012-10-22,8
2012-10-23,17
2012-10-24,11
2012-10-25,11
2012-10-26,9
2012-10-27,8
2012-10-28,7
2012-10-29,8
2012-10-30,8
2012-10-31,8
2012-11-01,9
2012-11-02,9
2012-11-03,9
2012-11-04,9
2012-11-05,14
2012-11-06,37
2012-11-07,100
2012-11-08,16
2012-11-09,9
2012-11-10,8
2012-11-11,7
2012-11-12,6
2012-11-13,7
2012-11-14,7
2012-11-15,6
2012-11-16,6
2012-11-17,6
2012-11-18,6
2012-11-19,6
2012-11-20,6
2012-11-21,6
2012-11-22,6
2012-11-23,6
2012-11-24,5
2012-11-25,5
2012-11-26,7
2012-11-27,8
2012-11-28,6
2012-11-29,6
2012-11-30,6
2012-12-01,5
2012-12-02,5
2012-12-03,5
2012-12-04,5
2012-12-05,6
2012-12-06,6
2012-12-07,6
2012-12-08,5
2012-12-09,6
2012-12-10,6
2012-12-11,5
2012-12-12,5
2012-12-13,5
2012-12-14,6
2012-12-15,5
2012-12-16,6
2012-12-17,6
2012-12-18,5
2012-12-19,6
2012-12-20,5
2012-12-21,5
2012-12-22,4
2012-12-23,4
2012-12-24,4
2012-12-25,3
2012-12-26,3
2012-12-27,4
2012-12-28,4
2012-12-29,4
2012-12-30,4
2012-12-31,6
2013-01-01,5
2013-01-02,5
2013-01-03,5
2013-01-04,5
2013-01-05,5
2013-01-06,5
2013-01-07,5
2013-01-08,5
2013-01-09,6
2013-01-10,6
2013-01-11,5
2013-01-12,5
2013-01-13,5
2013-01-14,6
2013-01-15,5
2013-01-16,5
2013-01-17,5
2013-01-18,5
2013-01-19,5
2013-01-20,5
2013-01-21,7
2013-01-22,7
2013-01-23,6
2013-01-24,6
2013-01-25,6
2013-01-26,6
2013-01-27,6
2013-01-28,6
2013-01-29,6
2013-01-30,5
2013-01-31,5
2013-02-01,5
2013-02-02,4
2013-02-03,4
2013-02-04,5
2013-02-05,5
2013-02-06,5
2013-02-07,6
2013-02-08,5
2013-02-09,4
2013-02-10,4
2013-02-11,5
2013-02-12,5
2013-02-13,6
2013-02-14,5
2013-02-15,6
2013-02-16,5
2013-02-17,5
2013-02-18,5
2013-02-19,5
2013-02-20,6
2013-02-21,5
2013-02-22,5
2013-02-23,5
2013-02-24,5
2013-02-25,6
2013-02-26,6
2013-02-27,5
2013-02-28,5
2013-03-01,5
2013-03-02,5
2013-03-03,5
2013-03-04,5
2013-03-05,10
2013-03-06,12
2013-03-07,8
2013-03-08,7
2013-03-09,7
2013-03-10,6
2013-03-11,6
2013-03-12,6
2013-03-13,7
2013-03-14,6
2013-03-15,6
2013-03-16,5
2013-03-17,6
2013-03-18,5
2013-03-19,5
2013-03-20,5
2013-03-21,5
2013-03-22,5
2013-03-23,5
2013-03-24,5
2013-03-25,5
2013-03-26,6
2013-03-27,6
2013-03-28,5
2013-03-29,4
2013-03-30,5
2013-03-31,5
2013-04-01,5
