Category: Politics

Day,Geo: Canada
2012-01-01,18
2012-01-02,19
2012-01-03,23
2012-01-04,31
2012-01-05,24
2012-01-06,23
2012-01-07,23
2012-01-08,22
2012-01-09,23
2012-01-10,27
2012-01-11,31
2012-01-12,26
2012-01-13,28
2012-01-14,29
2012-01-15,27
2012-01-16,30
2012-01-17,28
2012-01-18,26
2012-01-19,26
2012-01-20,27
2012-01-21,24
2012-01-22,28
2012-01-23,27
2012-01-24,28
2012-01-25,32
2012-01-26,26
2012-01-27,28
2012-01-28,23
2012-01-29,23
2012-01-30,25
2012-01-31,25
2012-02-01,25
2012-02-02,24
2012-02-03,22
2012-02-04,20
2012-02-05,22
2012-02-06,24
2012-02-07,25
2012-02-08,28
2012-02-09,25
2012-02-10,26
2012-02-11,24
2012-02-12,26
2012-02-13,25
2012-02-14,23
2012-02-15,25
2012-02-16,27
2012-02-17,26
2012-02-18,21
2012-02-19,21
2012-02-20,22
2012-02-21,25
2012-02-22,24
2012-02-23,27
2012-02-24,23
2012-02-25,22
2012-02-26,22
2012-02-27,26
2012-02-28,28
2012-02-29,27
2012-03-01,26
2012-03-02,27
2012-03-03,24
2012-03-04,25
2012-03-05,38
2012-03-06,30
2012-03-07,30
2012-03-08,26
2012-03-09,25
2012-03-10,21
2012-03-11,22
2012-03-12,24
2012-03-13,24
2012-03-14,25
2012-03-15,25
2012-03-16,23
2012-03-17,21
2012-03-18,21
2012-03-19,25
2012-03-20,26
2012-03-21,25
2012-03-22,26
2012-03-23,29
2012-03-24,35
2012-03-25,31
2012-03-26,29
2012-03-27,29
2012-03-28,28
2012-03-29,27
2012-03-30,27
2012-03-31,22
2012-04-01,26
2012-04-02,27
2012-04-03,25
2012-04-04,27
2012-04-05,25
2012-04-06,22
2012-04-07,22
2012-04-08,22
2012-04-09,23
2012-04-10,27
2012-04-11,28
2012-04-12,29
2012-04-13,34
2012-04-14,27
2012-04-15,27
2012-04-16,31
2012-04-17,32
2012-04-18,30
2012-04-19,32
2012-04-20,35
2012-04-21,31
2012-04-22,42
2012-04-23,67
2012-04-24,100
2012-04-25,30
2012-04-26,28
2012-04-27,26
2012-04-28,24
2012-04-29,25
2012-04-30,26
2012-05-01,27
2012-05-02,27
2012-05-03,29
2012-05-04,36
2012-05-05,30
2012-05-06,37
2012-05-07,31
2012-05-08,27
2012-05-09,26
2012-05-10,25
2012-05-11,24
2012-05-12,20
2012-05-13,18
2012-05-14,23
2012-05-15,27
2012-05-16,23
2012-05-17,26
2012-05-18,26
2012-05-19,23
2012-05-20,23
2012-05-21,20
2012-05-22,24
2012-05-23,24
2012-05-24,22
2012-05-25,23
2012-05-26,19
2012-05-27,18
2012-05-28,25
2012-05-29,23
2012-05-30,24
2012-05-31,23
2012-06-01,22
2012-06-02,19
2012-06-03,20
2012-06-04,23
2012-06-05,22
2012-06-06,23
2012-06-07,25
2012-06-08,22
2012-06-09,20
2012-06-10,19
2012-06-11,24
2012-06-12,26
2012-06-13,24
2012-06-14,24
2012-06-15,23
2012-06-16,17
2012-06-17,25
2012-06-18,26
2012-06-19,23
2012-06-20,21
2012-06-21,20
2012-06-22,20
2012-06-23,19
2012-06-24,17
2012-06-25,17
2012-06-26,21
2012-06-27,22
2012-06-28,21
2012-06-29,18
2012-06-30,16
2012-07-01,22
2012-07-02,23
2012-07-03,20
2012-07-04,20
2012-07-05,19
2012-07-06,18
2012-07-07,16
2012-07-08,15
2012-07-09,18
2012-07-10,19
2012-07-11,19
2012-07-12,19
2012-07-13,19
2012-07-14,18
2012-07-15,17
2012-07-16,20
2012-07-17,21
2012-07-18,21
2012-07-19,21
2012-07-20,19
2012-07-21,17
2012-07-22,16
2012-07-23,19
2012-07-24,20
2012-07-25,20
2012-07-26,19
2012-07-27,21
2012-07-28,18
2012-07-29,16
2012-07-30,19
2012-07-31,20
2012-08-01,25
