date,education
2012-01-01,11
2012-01-02,19
2012-01-03,25
2012-01-04,28
2012-01-05,28
2012-01-06,27
2012-01-07,15
2012-01-08,16
2012-01-09,30
2012-01-10,31
2012-01-11,33
2012-01-12,31
2012-01-13,27
2012-01-14,16
2012-01-15,19
2012-01-16,25
2012-01-17,33
2012-01-18,31
2012-01-19,33
2012-01-20,27
2012-01-21,18
2012-01-22,18
2012-01-23,30
2012-01-24,33
2012-01-25,33
2012-01-26,32
2012-01-27,28
2012-01-28,18
2012-01-29,19
2012-01-30,33
2012-01-31,32
2012-02-01,33
2012-02-02,32
2012-02-03,28
2012-02-04,17
2012-02-05,19
2012-02-06,29
2012-02-07,32
2012-02-08,32
2012-02-09,33
2012-02-10,28
2012-02-11,17
2012-02-12,17
2012-02-13,30
2012-02-14,29
2012-02-15,29
2012-02-16,32
2012-02-17,28
2012-02-18,16
2012-02-19,16
2012-02-20,24
2012-02-21,31
2012-02-22,29
2012-02-23,29
2012-02-24,26
2012-02-25,17
2012-02-26,19
2012-02-27,31
2012-02-28,33
2012-02-29,31
2012-03-01,32
2012-03-02,29
2012-03-03,17
2012-03-04,18
2012-03-05,32
2012-03-06,34
2012-03-07,30
2012-03-08,30
2012-03-09,26
2012-03-10,16
2012-03-11,16
2012-03-12,28
2012-03-13,30
2012-03-14,28
2012-03-15,29
2012-03-16,24
2012-03-17,14
2012-03-18,16
2012-03-19,29
2012-03-20,29
2012-03-21,32
2012-03-22,29
2012-03-23,25
2012-03-24,15
2012-03-25,17
2012-03-26,31
2012-03-27,31
2012-03-28,30
2012-03-29,29
2012-03-30,25
2012-03-31,16
2012-04-01,15
2012-04-02,26
2012-04-03,29
2012-04-04,28
2012-04-05,26
2012-04-06,19
2012-04-07,13
2012-04-08,13
2012-04-09,25
2012-04-10,34
2012-04-11,29
2012-04-12,30
2012-04-13,26
2012-04-14,15
2012-04-15,18
2012-04-16,32
2012-04-17,33
2012-04-18,30
2012-04-19,31
2012-04-20,26
2012-04-21,13
2012-04-22,20
2012-04-23,33
2012-04-24,32
2012-04-25,32
2012-04-26,31
2012-04-27,27
2012-04-28,15
2012-04-29,18
2012-04-30,32
2012-05-01,31
2012-05-02,31
2012-05-03,29
2012-05-04,25
2012-05-05,13
2012-05-06,16
2012-05-07,30
2012-05-08,32
2012-05-09,30
2012-05-10,30
2012-05-11,27
2012-05-12,13
2012-05-13,12
2012-05-14,30
2012-05-15,29
2012-05-16,28
2012-05-17,27
2012-05-18,24
2012-05-19,13
2012-05-20,14
2012-05-21,27
2012-05-22,29
2012-05-23,28
2012-05-24,28
2012-05-25,23
2012-05-26,12
2012-05-27,12
2012-05-28,14
2012-05-29,26
2012-05-30,27
2012-05-31,26
2012-06-01,23
2012-06-02,12
2012-06-03,13
2012-06-04,25
2012-06-05,26
2012-06-06,25
2012-06-07,24
2012-06-08,22
2012-06-09,13
2012-06-10,13
2012-06-11,25
2012-06-12,25
2012-06-13,25
2012-06-14,23
2012-06-15,20
2012-06-16,12
2012-06-17,13
2012-06-18,24
2012-06-19,24
2012-06-20,24
2012-06-21,23
2012-06-22,19
2012-06-23,12
2012-06-24,13
2012-06-25,24
2012-06-26,24
2012-06-27,23
2012-06-28,22
2012-06-29,18
2012-06-30,12
2012-07-01,12
2012-07-02,20
2012-07-03,19
2012-07-04,13
2012-07-05,20
2012-07-06,18
2012-07-07,12
2012-07-08,13
2012-07-09,23
2012-07-10,23
2012-07-11,23
2012-07-12,22
2012-07-13,20
2012-07-14,12
2012-07-15,13
2012-07-16,24
2012-07-17,26
2012-07-18,23
2012-07-19,23
2012-07-20,19
2012-07-21,13
2012-07-22,13
2012-07-23,23
2012-07-24,23
2012-07-25,24
2012-07-26,22
2012-07-27,18
2012-07-28,12
2012-07-29,13
2012-07-30,23
2012-07-31,23
2012-08-01,22
2012-08-02,23
2012-08-03,21
2012-08-04,12
2012-08-05,13
2012-08-06,25
2012-08-07,25
2012-08-08,25
2012-08-09,24
2012-08-10,21
2012-08-11,14
2012-08-12,14
