date,score
2012-01-01,88
2012-01-02,74
2012-01-03,69
2012-01-04,68
2012-01-05,71
2012-01-06,74
2012-01-07,78
2012-01-08,83
2012-01-09,72
2012-01-10,70
2012-01-11,71
2012-01-12,70
2012-01-13,72
2012-01-14,81
2012-01-15,84
2012-01-16,75
2012-01-17,70
2012-01-18,68
2012-01-19,68
2012-01-20,69
2012-01-21,78
2012-01-22,78
2012-01-23,74
2012-01-24,72
2012-01-25,73
2012-01-26,71
2012-01-27,76
2012-01-28,86
2012-01-29,89
2012-01-30,71
2012-01-31,68
2012-02-01,68
2012-02-02,69
2012-02-03,75
2012-02-04,83
2012-02-05,78
2012-02-06,72
2012-02-07,70
2012-02-08,68
2012-02-09,71
2012-02-10,75
2012-02-11,82
2012-02-12,100
2012-02-13,73
2012-02-14,70
2012-02-15,71
2012-02-16,76
2012-02-17,74
2012-02-18,83
2012-02-19,83
2012-02-20,71
2012-02-21,73
2012-02-22,69
2012-02-23,71
2012-02-24,73
2012-02-25,82
2012-02-26,79
2012-02-27,76
2012-02-28,74
2012-02-29,78
2012-03-01,77
2012-03-02,80
2012-03-03,88
2012-03-04,86
2012-03-05,76
2012-03-06,68
2012-03-07,71
2012-03-08,72
2012-03-09,72
2012-03-10,81
2012-03-11,87
2012-03-12,73
2012-03-13,77
2012-03-14,71
2012-03-15,68
2012-03-16,74
2012-03-17,96
2012-03-18,87
2012-03-19,70
2012-03-20,72
2012-03-21,73
2012-03-22,71
2012-03-23,77
2012-03-24,80
2012-03-25,84
2012-03-26,72
2012-03-27,73
2012-03-28,73
2012-03-29,72
2012-03-30,70
2012-03-31,81
2012-04-01,81
2012-04-02,73
2012-04-03,75
2012-04-04,72
2012-04-05,74
2012-04-06,87
2012-04-07,82
2012-04-08,88
2012-04-09,80
2012-04-10,68
2012-04-11,75
2012-04-12,74
2012-04-13,78
2012-04-14,82
2012-04-15,89
2012-04-16,80
2012-04-17,81
2012-04-18,77
2012-04-19,77
2012-04-20,76
2012-04-21,86
2012-04-22,87
2012-04-23,77
2012-04-24,78
2012-04-25,79
2012-04-26,76
2012-04-27,77
2012-04-28,97
2012-04-29,91
2012-04-30,77
2012-05-01,80
2012-05-02,74
2012-05-03,77
2012-05-04,73
2012-05-05,89
2012-05-06,86
2012-05-07,75
2012-05-08,73
2012-05-09,73
2012-05-10,72
2012-05-11,76
2012-05-12,86
2012-05-13,88
2012-05-14,75
2012-05-15,70
2012-05-16,75
2012-05-17,73
2012-05-18,78
2012-05-19,88
2012-05-20,91
2012-05-21,76
2012-05-22,75
2012-05-23,74
2012-05-24,76
2012-05-25,83
2012-05-26,90
2012-05-27,96
2012-05-28,79
2012-05-29,72
2012-05-30,71
2012-05-31,75
2012-06-01,76
2012-06-02,84
2012-06-03,96
2012-06-04,74
2012-06-05,71
2012-06-06,72
2012-06-07,74
2012-06-08,73
2012-06-09,84
2012-06-10,89
2012-06-11,78
2012-06-12,72
2012-06-13,74
2012-06-14,76
2012-06-15,78
2012-06-16,91
2012-06-17,89
2012-06-18,73
2012-06-19,75
2012-06-20,74
2012-06-21,73
