Category: Food & Drink

Day,Geo: United States
2012-01-01,100
2012-01-02,74
2012-01-03,68
2012-01-04,66
2012-01-05,68
2012-01-06,71
2012-01-07,81
2012-01-08,80
2012-01-09,66
2012-01-10,64
2012-01-11,66
2012-01-12,67
2012-01-13,73
2012-01-14,85
2012-01-15,87
2012-01-16,70
2012-01-17,65
2012-01-18,67
2012-01-19,65
2012-01-20,69
2012-01-21,85
2012-01-22,86
2012-01-23,67
2012-01-24,64
2012-01-25,65
2012-01-26,68
2012-01-27,68
2012-01-28,83
2012-01-29,82
2012-01-30,64
2012-01-31,62
2012-02-01,62
2012-02-02,67
2012-02-03,72
2012-02-04,92
2012-02-05,92
2012-02-06,56
2012-02-07,61
2012-02-08,66
2012-02-09,68
2012-02-10,71
2012-02-11,83
2012-02-12,79
2012-02-13,66
2012-02-14,75
2012-02-15,66
2012-02-16,63
2012-02-17,67
2012-02-18,78
2012-02-19,84
2012-02-20,66
2012-02-21,63
2012-02-22,62
2012-02-23,65
2012-02-24,67
2012-02-25,82
2012-02-26,81
2012-02-27,61
2012-02-28,63
2012-02-29,61
2012-03-01,60
2012-03-02,65
2012-03-03,75
2012-03-04,76
2012-03-05,59
2012-03-06,63
2012-03-07,60
2012-03-08,65
2012-03-09,69
2012-03-10,75
2012-03-11,78
2012-03-12,61
2012-03-13,62
2012-03-14,62
2012-03-15,64
2012-03-16,67
2012-03-17,80
2012-03-18,76
2012-03-19,60
2012-03-20,62
2012-03-21,62
2012-03-22,64
2012-03-23,67
2012-03-24,76
2012-03-25,76
2012-03-26,60
2012-03-27,58
2012-03-28,62
2012-03-29,62
2012-03-30,66
2012-03-31,77
2012-04-01,77
2012-04-02,64
2012-04-03,61
2012-04-04,68
2012-04-05,70
2012-04-06,86
2012-04-07,93
2012-04-08,89
2012-04-09,59
2012-04-10,58
2012-04-11,61
2012-04-12,63
2012-04-13,65
2012-04-14,73
2012-04-15,76
2012-04-16,59
2012-04-17,61
2012-04-18,60
2012-04-19,61
2012-04-20,66
2012-04-21,78
2012-04-22,73
2012-04-23,60
2012-04-24,61
2012-04-25,63
2012-04-26,65
2012-04-27,66
2012-04-28,78
2012-04-29,81
2012-04-30,65
2012-05-01,68
2012-05-02,65
2012-05-03,64
2012-05-04,65
2012-05-05,78
2012-05-06,72
2012-05-07,65
2012-05-08,62
2012-05-09,65
2012-05-10,62
2012-05-11,69
2012-05-12,79
2012-05-13,84
2012-05-14,62
2012-05-15,62
2012-05-16,62
2012-05-17,63
2012-05-18,67
2012-05-19,74
2012-05-20,75
2012-05-21,60
2012-05-22,62
2012-05-23,63
2012-05-24,63
2012-05-25,66
2012-05-26,78
2012-05-27,80
2012-05-28,68
2012-05-29,60
2012-05-30,59
2012-05-31,63
2012-06-01,67
2012-06-02,78
2012-06-03,76
2012-06-04,63
2012-06-05,63
2012-06-06,61
2012-06-07,64
2012-06-08,67
2012-06-09,74
2012-06-10,71
2012-06-11,62
2012-06-12,63
2012-06-13,64
2012-06-14,65
2012-06-15,69
2012-06-16,75
2012-06-17,80
2012-06-18,61
2012-06-19,62
2012-06-20,61
2012-06-21,64
2012-06-22,68
2012-06-23,83
2012-06-24,77
2012-06-25,64
2012-06-26,67
2012-06-27,64
2012-06-28,66
2012-06-29,69
2012-06-30,80
2012-07-01,80
2012-07-02,64
2012-07-03,70
2012-07-04,71
2012-07-05,62
2012-07-06,68
2012-07-07,80
2012-07-08,82
2012-07-09,62
2012-07-10,64
2012-07-11,65
2012-07-12,68
2012-07-13,70
2012-07-14,81
2012-07-15,84
2012-07-16,64
2012-07-17,69
2012-07-18,69
2012-07-19,67
2012-07-20,73
2012-07-21,82
2012-07-22,82
2012-07-23,69
2012-07-24,70
2012-07-25,69
2012-07-26,72
2012-07-27,71
2012-07-28,80
2012-07-29,81
2012-07-30,66
2012-07-31,67
2012-08-01,71
