Category: Food & Drink

Day,Geo: United States
2016-06-01,45
2016-06-02,47
2016-06-03,54
2016-06-04,60
2016-06-05,63
2016-06-06,46
2016-06-07,47
2016-06-08,46
2016-06-09,47
2016-06-10,50
2016-06-11,60
2016-06-12,58
2016-06-13,46
2016-06-14,44
2016-06-15,47
2016-06-16,47
2016-06-17,54
2016-06-18,62
2016-06-19,65
2016-06-20,46
2016-06-21,46
2016-06-22,49
2016-06-23,49
2016-06-24,51
2016-06-25,60
2016-06-26,61
2016-06-27,47
2016-06-28,49
2016-06-29,49
2016-06-30,51
2016-07-01,55
2016-07-02,62
2016-07-03,67
2016-07-04,59
2016-07-05,47
2016-07-06,48
2016-07-07,52
2016-07-08,53
2016-07-09,63
2016-07-10,62
2016-07-11,49
2016-07-12,51
2016-07-13,50
2016-07-14,51
2016-07-15,55
2016-07-16,61
2016-07-17,66
2016-07-18,50
2016-07-19,50
2016-07-20,48
2016-07-21,50
2016-07-22,53
2016-07-23,66
2016-07-24,63
2016-07-25,52
2016-07-26,51
2016-07-27,48
2016-07-28,54
2016-07-29,55
2016-07-30,67
2016-07-31,67
2016-08-01,49
2016-08-02,49
2016-08-03,48
2016-08-04,51
2016-08-05,54
2016-08-06,61
2016-08-07,61
2016-08-08,47
2016-08-09,48
2016-08-10,50
2016-08-11,47
2016-08-12,54
2016-08-13,62
2016-08-14,60
2016-08-15,48
2016-08-16,48
2016-08-17,47
2016-08-18,49
2016-08-19,52
2016-08-20,62
2016-08-21,59
2016-08-22,47
2016-08-23,48
2016-08-24,48
2016-08-25,50
2016-08-26,53
2016-08-27,64
2016-08-28,65
2016-08-29,47
2016-08-30,47
2016-08-31,48
2016-09-01,48
2016-09-02,55
2016-09-03,64
2016-09-04,66
2016-09-05,58
2016-09-06,45
2016-09-07,47
2016-09-08,50
2016-09-09,50
2016-09-10,64
2016-09-11,64
2016-09-12,43
2016-09-13,45
2016-09-14,47
2016-09-15,48
2016-09-16,50
2016-09-17,61
2016-09-18,61
2016-09-19,47
2016-09-20,46
2016-09-21,48
2016-09-22,47
2016-09-23,52
2016-09-24,62
2016-09-25,59
2016-09-26,46
2016-09-27,44
2016-09-28,48
2016-09-29,49
2016-09-30,53
2016-10-01,61
2016-10-02,61
2016-10-03,47
2016-10-04,46
2016-10-05,48
2016-10-06,46
2016-10-07,51
2016-10-08,64
2016-10-09,64
2016-10-10,52
2016-10-11,47
2016-10-12,48
2016-10-13,45
2016-10-14,49
2016-10-15,62
2016-10-16,64
2016-10-17,47
2016-10-18,46
2016-10-19,48
2016-10-20,47
2016-10-21,53
2016-10-22,66
2016-10-23,64
2016-10-24,48
2016-10-25,48
2016-10-26,48
2016-10-27,52
2016-10-28,51
2016-10-29,64
2016-10-30,64
2016-10-31,49
2016-11-01,47
2016-11-02,50
2016-11-03,49
2016-11-04,55
2016-11-05,62
2016-11-06,60
2016-11-07,47
2016-11-08,46
2016-11-09,36
2016-11-10,45
2016-11-11,55
2016-11-12,64
2016-11-13,61
2016-11-14,49
2016-11-15,51
2016-11-16,51
2016-11-17,53
2016-11-18,56
2016-11-19,69
2016-11-20,70
2016-11-21,61
2016-11-22,59
2016-11-23,78
2016-11-24,100
2016-11-25,48
2016-11-26,61
2016-11-27,58
2016-11-28,45
2016-11-29,46
2016-11-30,47
2016-12-01,49
