Category: Food & Drink

Day,Geo: Canada
2015-12-01,50
2015-12-02,52
2015-12-03,52
2015-12-04,54
2015-12-05,71
2015-12-06,68
2015-12-07,53
2015-12-08,53
2015-12-09,55
2015-12-10,52
2015-12-11,57
2015-12-12,70
2015-12-13,73
2015-12-14,57
2015-12-15,59
2015-12-16,58
2015-12-17,57
2015-12-18,61
2015-12-19,82
2015-12-20,85
2015-12-21,67
2015-12-22,70
2015-12-23,84
2015-12-24,100
2015-12-25,85
2015-12-26,64
2015-12-27,63
2015-12-28,57
2015-12-29,59
2015-12-30,65
2015-12-31,88
2016-01-01,80
2016-01-02,67
2016-01-03,69
2016-01-04,52
2016-01-05,53
2016-01-06,53
2016-01-07,54
2016-01-08,56
2016-01-09,72
2016-01-10,73
2016-01-11,52
2016-01-12,53
2016-01-13,52
2016-01-14,53
2016-01-15,56
2016-01-16,74
2016-01-17,75
2016-01-18,54
2016-01-19,53
2016-01-20,52
2016-01-21,55
2016-01-22,56
2016-01-23,72
2016-01-24,76
2016-01-25,52
2016-01-26,56
2016-01-27,52
2016-01-28,53
2016-01-29,60
2016-01-30,73
2016-01-31,73
2016-02-01,53
2016-02-02,51
2016-02-03,55
2016-02-04,57
2016-02-05,57
2016-02-06,75
2016-02-07,77
2016-02-08,56
2016-02-09,57
2016-02-10,52
2016-02-11,57
2016-02-12,60
2016-02-13,76
2016-02-14,84
2016-02-15,63
2016-02-16,52
2016-02-17,52
2016-02-18,53
2016-02-19,56
2016-02-20,74
2016-02-21,71
2016-02-22,52
2016-02-23,52
2016-02-24,51
2016-02-25,55
2016-02-26,56
2016-02-27,74
2016-02-28,70
2016-02-29,50
2016-03-01,53
2016-03-02,53
2016-03-03,53
2016-03-04,54
2016-03-05,70
2016-03-06,69
2016-03-07,53
2016-03-08,52
2016-03-09,52
2016-03-10,53
2016-03-11,54
2016-03-12,71
2016-03-13,76
2016-03-14,54
2016-03-15,53
2016-03-16,53
2016-03-17,54
2016-03-18,61
2016-03-19,74
2016-03-20,71
2016-03-21,55
2016-03-22,56
2016-03-23,56
2016-03-24,63
2016-03-25,84
2016-03-26,85
2016-03-27,80
2016-03-28,61
2016-03-29,49
2016-03-30,47
2016-03-31,50
2016-04-01,54
2016-04-02,71
2016-04-03,75
2016-04-04,53
2016-04-05,52
2016-04-06,53
2016-04-07,52
2016-04-08,59
2016-04-09,71
2016-04-10,71
2016-04-11,52
2016-04-12,54
2016-04-13,51
2016-04-14,50
2016-04-15,56
2016-04-16,69
2016-04-17,65
2016-04-18,52
2016-04-19,50
2016-04-20,48
2016-04-21,50
2016-04-22,56
2016-04-23,68
2016-04-24,71
2016-04-25,54
2016-04-26,51
2016-04-27,49
2016-04-28,50
2016-04-29,58
2016-04-30,67
2016-05-01,71
2016-05-02,51
2016-05-03,51
2016-05-04,52
2016-05-05,53
2016-05-06,57
2016-05-07,68
2016-05-08,77
2016-05-09,47
2016-05-10,49
2016-05-11,49
2016-05-12,50
2016-05-13,54
2016-05-14,71
2016-05-15,73
2016-05-16,51
2016-05-17,51
2016-05-18,50
2016-05-19,48
2016-05-20,54
2016-05-21,65
2016-05-22,64
2016-05-23,58
2016-05-24,47
2016-05-25,49
2016-05-26,50
2016-05-27,54
2016-05-28,64
2016-05-29,68
2016-05-30,51
2016-05-31,51
2016-06-01,51
