Category: Food & Drink

Day,Geo: Australia
2012-01-01,77
2012-01-02,65
2012-01-03,63
2012-01-04,64
2012-01-05,65
2012-01-06,65
2012-01-07,71
2012-01-08,71
2012-01-09,64
2012-01-10,65
2012-01-11,63
2012-01-12,67
2012-01-13,67
2012-01-14,74
2012-01-15,77
2012-01-16,70
2012-01-17,66
2012-01-18,64
2012-01-19,62
2012-01-20,68
2012-01-21,73
2012-01-22,69
2012-01-23,64
2012-01-24,63
2012-01-25,66
2012-01-26,57
2012-01-27,64
2012-01-28,75
2012-01-29,72
2012-01-30,60
2012-01-31,63
2012-02-01,60
2012-02-02,66
2012-02-03,66
2012-02-04,77
2012-02-05,73
2012-02-06,61
2012-02-07,62
2012-02-08,62
2012-02-09,67
2012-02-10,67
2012-02-11,77
2012-02-12,74
2012-02-13,68
2012-02-14,70
2012-02-15,63
2012-02-16,65
2012-02-17,68
2012-02-18,75
2012-02-19,74
2012-02-20,67
2012-02-21,70
2012-02-22,63
2012-02-23,61
2012-02-24,66
2012-02-25,78
2012-02-26,74
2012-02-27,60
2012-02-28,62
2012-02-29,63
2012-03-01,65
2012-03-02,68
2012-03-03,85
2012-03-04,75
2012-03-05,66
2012-03-06,66
2012-03-07,63
2012-03-08,62
2012-03-09,66
2012-03-10,76
2012-03-11,76
2012-03-12,71
2012-03-13,69
2012-03-14,67
2012-03-15,67
2012-03-16,73
2012-03-17,85
2012-03-18,78
2012-03-19,67
2012-03-20,63
2012-03-21,69
2012-03-22,72
2012-03-23,72
2012-03-24,82
2012-03-25,82
2012-03-26,68
2012-03-27,68
2012-03-28,68
2012-03-29,65
2012-03-30,69
2012-03-31,76
2012-04-01,81
2012-04-02,72
2012-04-03,72
2012-04-04,69
2012-04-05,73
2012-04-06,86
2012-04-07,85
2012-04-08,75
2012-04-09,68
2012-04-10,59
2012-04-11,66
2012-04-12,67
2012-04-13,68
2012-04-14,76
2012-04-15,77
2012-04-16,65
2012-04-17,70
2012-04-18,67
2012-04-19,69
2012-04-20,66
2012-04-21,82
2012-04-22,79
2012-04-23,69
2012-04-24,71
2012-04-25,74
2012-04-26,67
2012-04-27,73
2012-04-28,86
2012-04-29,88
2012-04-30,72
2012-05-01,74
2012-05-02,66
2012-05-03,73
2012-05-04,72
2012-05-05,84
2012-05-06,82
2012-05-07,72
2012-05-08,69
2012-05-09,73
2012-05-10,72
2012-05-11,77
2012-05-12,95
2012-05-13,89
2012-05-14,70
2012-05-15,70
2012-05-16,70
2012-05-17,71
2012-05-18,78
2012-05-19,89
2012-05-20,91
2012-05-21,74
2012-05-22,72
2012-05-23,77
2012-05-24,74
2012-05-25,82
2012-05-26,91
2012-05-27,95
2012-05-28,79
2012-05-29,72
2012-05-30,74
2012-05-31,72
2012-06-01,74
2012-06-02,93
2012-06-03,92
2012-06-04,78
2012-06-05,70
2012-06-06,72
2012-06-07,71
2012-06-08,75
2012-06-09,90
2012-06-10,98
2012-06-11,77
2012-06-12,70
2012-06-13,73
2012-06-14,73
2012-06-15,76
2012-06-16,91
2012-06-17,93
2012-06-18,68
2012-06-19,73
2012-06-20,72
2012-06-21,67
2012-06-22,77
2012-06-23,95
2012-06-24,92
2012-06-25,74
2012-06-26,75
2012-06-27,76
2012-06-28,74
2012-06-29,76
2012-06-30,89
2012-07-01,92
2012-07-02,73
2012-07-03,75
2012-07-04,74
2012-07-05,73
2012-07-06,78
2012-07-07,94
2012-07-08,92
2012-07-09,77
2012-07-10,73
2012-07-11,74
2012-07-12,78
2012-07-13,79
2012-07-14,95
2012-07-15,90
2012-07-16,73
2012-07-17,72
2012-07-18,73
2012-07-19,73
2012-07-20,79
2012-07-21,94
2012-07-22,100
2012-07-23,78
2012-07-24,75
2012-07-25,79
2012-07-26,78
2012-07-27,80
2012-07-28,90
2012-07-29,89
2012-07-30,71
2012-07-31,77
2012-08-01,74
