Category: Food & Drink

Day,Geo: Australia
2016-12-01,47
2016-12-02,53
2016-12-03,60
2016-12-04,58
2016-12-05,50
2016-12-06,50
2016-12-07,51
2016-12-08,51
2016-12-09,52
2016-12-10,62
2016-12-11,59
2016-12-12,53
2016-12-13,53
2016-12-14,53
2016-12-15,53
2016-12-16,60
2016-12-17,65
2016-12-18,65
2016-12-19,56
2016-12-20,63
2016-12-21,65
2016-12-22,69
2016-12-23,86
2016-12-24,100
2016-12-25,60
2016-12-26,52
2016-12-27,54
2016-12-28,54
2016-12-29,55
2016-12-30,63
2016-12-31,61
2017-01-01,68
2017-01-02,59
2017-01-03,53
2017-01-04,51
2017-01-05,55
2017-01-06,56
2017-01-07,63
2017-01-08,59
2017-01-09,50
2017-01-10,48
2017-01-11,51
2017-01-12,50
2017-01-13,54
2017-01-14,61
2017-01-15,61
2017-01-16,51
2017-01-17,47
2017-01-18,48
2017-01-19,49
2017-01-20,54
2017-01-21,60
2017-01-22,58
2017-01-23,49
2017-01-24,49
2017-01-25,53
2017-01-26,51
2017-01-27,55
2017-01-28,62
2017-01-29,58
2017-01-30,52
2017-01-31,49
2017-02-01,48
2017-02-02,48
2017-02-03,50
2017-02-04,63
2017-02-05,62
2017-02-06,47
2017-02-07,45
2017-02-08,46
2017-02-09,48
2017-02-10,50
2017-02-11,65
2017-02-12,61
2017-02-13,50
2017-02-14,52
2017-02-15,47
2017-02-16,47
2017-02-17,52
2017-02-18,64
2017-02-19,62
2017-02-20,48
2017-02-21,51
2017-02-22,53
2017-02-23,47
2017-02-24,56
2017-02-25,65
2017-02-26,64
2017-02-27,49
2017-02-28,48
2017-03-01,49
2017-03-02,50
2017-03-03,55
2017-03-04,63
2017-03-05,62
2017-03-06,48
2017-03-07,46
2017-03-08,47
2017-03-09,49
2017-03-10,53
2017-03-11,63
2017-03-12,62
2017-03-13,54
2017-03-14,52
2017-03-15,50
2017-03-16,52
2017-03-17,55
2017-03-18,65
2017-03-19,61
2017-03-20,52
2017-03-21,51
2017-03-22,51
2017-03-23,52
2017-03-24,53
2017-03-25,69
2017-03-26,63
2017-03-27,49
2017-03-28,49
2017-03-29,51
2017-03-30,51
2017-03-31,56
2017-04-01,65
2017-04-02,63
2017-04-03,51
2017-04-04,53
2017-04-05,54
2017-04-06,53
2017-04-07,56
2017-04-08,68
2017-04-09,67
2017-04-10,53
2017-04-11,58
2017-04-12,56
2017-04-13,61
2017-04-14,73
2017-04-15,71
2017-04-16,63
2017-04-17,59
2017-04-18,51
2017-04-19,51
2017-04-20,50
2017-04-21,57
2017-04-22,66
2017-04-23,62
2017-04-24,53
2017-04-25,61
2017-04-26,52
2017-04-27,49
2017-04-28,55
2017-04-29,66
2017-04-30,71
2017-05-01,59
2017-05-02,53
2017-05-03,55
2017-05-04,54
