Category: Food &z Drink

Day,Geo: Australia
2016-06-01,72
2016-06-02,71
2016-06-03,78
2016-06-04,95
2016-06-05,100
2016-06-06,73
2016-06-07,71
2016-06-08,70
2016-06-09,71
2016-06-10,75
2016-06-11,86
2016-06-12,88
2016-06-13,72
2016-06-14,66
2016-06-15,67
2016-06-16,69
2016-06-17,79
2016-06-18,92
2016-06-19,92
2016-06-20,70
2016-06-21,72
2016-06-22,70
2016-06-23,69
2016-06-24,74
2016-06-25,91
2016-06-26,85
2016-06-27,69
2016-06-28,69
2016-06-29,70
2016-06-30,73
2016-07-01,78
2016-07-02,85
2016-07-03,87
2016-07-04,76
2016-07-05,79
2016-07-06,75
2016-07-07,72
2016-07-08,78
2016-07-09,89
2016-07-10,84
2016-07-11,72
2016-07-12,68
2016-07-13,70
2016-07-14,64
2016-07-15,73
2016-07-16,89
2016-07-17,88
2016-07-18,67
2016-07-19,71
2016-07-20,71
2016-07-21,72
2016-07-22,74
2016-07-23,92
2016-07-24,91
2016-07-25,68
2016-07-26,72
2016-07-27,69
2016-07-28,69
2016-07-29,75
2016-07-30,91
2016-07-31,87
2016-08-01,69
2016-08-02,69
2016-08-03,70
2016-08-04,67
2016-08-05,79
2016-08-06,87
2016-08-07,81
2016-08-08,69
2016-08-09,68
2016-08-10,67
2016-08-11,66
2016-08-12,75
2016-08-13,87
2016-08-14,83
2016-08-15,71
2016-08-16,65
2016-08-17,64
2016-08-18,66
2016-08-19,74
2016-08-20,81
2016-08-21,84
2016-08-22,68
2016-08-23,70
2016-08-24,70
2016-08-25,71
2016-08-26,76
2016-08-27,86
2016-08-28,81
2016-08-29,68
2016-08-30,72
2016-08-31,68
2016-09-01,68
2016-09-02,76
2016-09-03,91
2016-09-04,82
2016-09-05,68
2016-09-06,67
2016-09-07,67
2016-09-08,66
2016-09-09,74
2016-09-10,84
2016-09-11,85
2016-09-12,70
2016-09-13,67
2016-09-14,67
2016-09-15,69
2016-09-16,71
2016-09-17,80
2016-09-18,80
2016-09-19,66
2016-09-20,59
2016-09-21,66
2016-09-22,66
2016-09-23,70
2016-09-24,79
2016-09-25,79
2016-09-26,67
2016-09-27,65
2016-09-28,64
2016-09-29,67
2016-09-30,74
2016-10-01,78
2016-10-02,77
2016-10-03,70
2016-10-04,65
2016-10-05,64
2016-10-06,61
2016-10-07,69
2016-10-08,81
2016-10-09,81
2016-10-10,66
2016-10-11,66
2016-10-12,67
2016-10-13,64
2016-10-14,70
2016-10-15,84
2016-10-16,76
2016-10-17,66
2016-10-18,67
2016-10-19,64
2016-10-20,62
2016-10-21,70
2016-10-22,86
2016-10-23,78
2016-10-24,64
2016-10-25,64
2016-10-26,65
2016-10-27,66
2016-10-28,69
2016-10-29,84
2016-10-30,80
2016-10-31,65
2016-11-01,68
2016-11-02,62
2016-11-03,60
2016-11-04,69
2016-11-05,79
2016-11-06,81
2016-11-07,64
2016-11-08,65
2016-11-09,55
2016-11-10,65
2016-11-11,71
2016-11-12,81
2016-11-13,76
2016-11-14,65
2016-11-15,64
2016-11-16,68
2016-11-17,65
2016-11-18,70
2016-11-19,76
2016-11-20,75
2016-11-21,66
2016-11-22,63
2016-11-23,67
2016-11-24,66
2016-11-25,73
2016-11-26,75
2016-11-27,77
2016-11-28,67
2016-11-29,62
2016-11-30,66
2016-12-01,62
